State,Priority_Score,Recommendation_Tier,Total_EV_Sales,Recent_Sales_2023_24,Growth_Rate_%,Total_Stations,EVs_per_Station,Station_Density_per_1000_EVs,Recommended_New_Stations
Uttar Pradesh,91.75556620313822,CRITICAL - Immediate Action,467843.0,305018.0,-89.96154317914528,3.0,155947.66666666666,0.006412407581175736,464
Maharashtra,80.69928357043082,CRITICAL - Immediate Action,348151.0,212139.0,-90.36527509328262,4.0,87037.75,0.011489267587914439,344
Karnataka,71.61751335330572,HIGH - Priority Investment,261095.0,165179.0,-90.6201991841924,4.0,65273.75,0.015320094218579444,170
Rajasthan,71.39239249468235,HIGH - Priority Investment,179351.0,101113.0,-92.08529440015369,0.0,179351.0,0.0,119
Gujarat,69.14741003128105,HIGH - Priority Investment,163429.0,94492.0,-92.88823396055315,0.0,163429.0,0.0,108
Bihar,67.43604547407851,HIGH - Priority Investment,152279.0,96541.0,-90.50605634441773,0.0,152279.0,0.0,101
Delhi,62.53928315021378,HIGH - Priority Investment,142454.0,80194.0,-90.39021390008884,1.0,142454.0,0.007019809903547812,93
Madhya Pradesh,53.85093938651849,MEDIUM - Strategic Development,110517.0,73720.0,-89.95730960981581,1.0,110517.0,0.009048381696933503,54
Assam,51.90604271840549,MEDIUM - Strategic Development,105754.0,65041.0,-92.9914614283599,0.0,105754.0,0.0,52
Odisha,42.844713430909565,MEDIUM - Strategic Development,77347.0,48905.0,-90.03979584954021,0.0,77347.0,0.0,38
