State,Station_Count,EV_Sales_Quantity,Stations_per_1000_EV,Charging_Gap_Score,Priority
Uttar Pradesh,3.0,467843.0,0.006412407581175736,0.999567513222166,High
Maharashtra,4.0,348151.0,0.011489267587914439,0.8457223252151019,High
Karnataka,4.0,261095.0,0.015320094218579444,0.7338162430715665,High
Rajasthan,0.0,179351.0,0.0,0.6300143424182899,High
Gujarat,0.0,163429.0,0.0,0.6095946717167939,High
Tamil Nadu,40.0,165261.0,0.24204137697339362,0.5956196236360815,Medium
Bihar,0.0,152279.0,0.0,0.595295002810772,Medium
Delhi,1.0,142454.0,0.007019809903547812,0.5822211687017256,Medium
Madhya Pradesh,1.0,110517.0,0.009048381696933503,0.5411257388767019,Medium
Assam,0.0,105754.0,0.0,0.5356275502679317,Medium
Odisha,0.0,77347.0,0.0,0.49919609783623997,Medium
Chhattisgarh,0.0,63552.0,0.0,0.4815042653197761,Medium
Andhra Pradesh,2.0,62246.0,0.03213057867172188,0.4776622878176232,Medium
Haryana,0.0,59844.0,0.0,0.47674882385757616,Medium
Punjab,0.0,42138.0,0.0,0.45404120613111665,Medium
